step,t,gfr_proxy,FGF23,PTH,serum_phos_proxy,psi,constraint_state
194,9.7,11.5,2.745,37.713,1.298,47.0442,P-EXCESS
195,9.75,11.3,2.749,38.413,1.299,47.7781,P-EXCESS
196,9.8,11.1,2.753,39.125,1.301,48.5233,P-EXCESS
197,9.85,10.9,2.757,39.847,1.303,49.2797,P-EXCESS
198,9.9,10.8,2.761,40.582,1.304,50.0476,P-EXCESS
199,9.95,10.6,2.765,41.327,1.306,50.8272,P-EXCESS
200,10.0,10.4,2.769,42.085,1.307,51.6187,P-EXCESS
201,10.05,10.2,2.772,42.855,1.309,52.4222,P-EXCESS
202,10.1,10.1,2.776,43.637,1.31,53.238,P-EXCESS
203,10.15,9.9,2.78,44.432,1.312,54.0662,P-EXCESS
204,10.2,9.7,2.783,45.239,1.313,54.907,P-EXCESS
205,10.25,9.6,2.787,46.059,1.315,55.7607,P-EXCESS
206,10.3,9.4,2.79,46.892,1.316,56.6274,P-EXCESS
207,10.35,9.3,2.794,47.738,1.317,57.5073,P-EXCESS
208,10.4,9.1,2.797,48.597,1.319,58.4007,P-EXCESS
209,10.45,9.0,2.8,49.47,1.32,59.3078,P-EXCESS
210,10.5,8.8,2.804,50.357,1.321,60.2287,P-EXCESS
211,10.55,8.7,2.807,51.258,1.323,61.1638,P-EXCESS
212,10.6,8.6,2.81,52.173,1.324,62.1131,P-EXCESS
213,10.65,8.4,2.813,53.103,1.325,63.077,P-EXCESS
214,10.7,8.3,2.816,54.047,1.326,64.0557,P-EXCESS
215,10.75,8.1,2.819,55.007,1.328,65.0494,P-EXCESS
216,10.8,8.0,2.822,55.981,1.329,66.0583,P-EXCESS
217,10.85,7.9,2.825,56.971,1.33,67.0827,P-EXCESS
218,10.9,7.8,2.828,57.976,1.331,68.1229,P-EXCESS
219,10.95,7.6,2.83,58.997,1.332,69.179,P-EXCESS
220,11.0,7.5,2.833,60.035,1.333,70.2513,P-EXCESS
221,11.05,7.4,2.836,61.088,1.334,71.34,P-EXCESS
222,11.1,7.3,2.838,62.158,1.335,72.4456,P-EXCESS
223,11.15,7.2,2.841,63.245,1.336,73.5681,P-EXCESS
224,11.2,7.0,2.844,64.349,1.337,74.7078,P-EXCESS
225,11.25,6.9,2.846,65.471,1.338,75.8651,P-EXCESS
226,11.3,6.8,2.849,66.61,1.339,77.0275,P-EXCESS
227,11.35,6.7,2.851,67.766,1.34,78.1897,P-EXCESS
228,11.4,6.6,2.853,68.94,1.341,79.3518,P-EXCESS
229,11.45,6.5,2.856,70.131,1.342,80.5138,P-EXCESS
230,11.5,6.4,2.858,71.34,1.343,81.6756,P-EXCESS
231,11.55,6.3,2.86,72.566,1.344,82.8371,P-EXCESS
232,11.6,6.2,2.863,73.809,1.345,83.9984,P-EXCESS
233,11.65,6.1,2.865,75.07,1.346,85.1594,P-EXCESS
234,11.7,6.0,2.867,76.349,1.347,86.32,P-EXCESS
235,11.75,5.9,2.869,77.644,1.348,87.4803,P-EXCESS
236,11.8,5.8,2.871,78.957,1.348,88.6402,P-EXCESS
237,11.85,5.7,2.873,80.288,1.349,89.7997,P-EXCESS
238,11.9,5.6,2.875,81.636,1.35,90.9587,P-EXCESS
239,11.95,5.5,2.877,83.001,1.351,92.1172,P-EXCESS
240,12.0,5.5,2.879,84.384,1.352,93.2752,P-EXCESS
241,12.05,5.4,2.881,85.784,1.352,94.4327,P-EXCESS
242,12.1,5.3,2.883,87.201,1.353,95.5897,P-EXCESS
243,12.15,5.2,2.884,88.636,1.354,96.7461,P-EXCESS
244,12.2,5.1,2.886,90.088,1.354,97.9019,P-EXCESS
245,12.25,5.0,2.888,91.557,1.355,99.057,P-EXCESS
