step,phase,C_renal,psi
374,inter-session,3.7148,16.9063
375,inter-session,3.8119,16.7778
376,inter-session,3.9061,16.6696
377,inter-session,3.9975,16.5798
378,inter-session,4.0863,16.5071
379,inter-session,4.1724,16.45
380,inter-session,4.2559,16.4074
381,inter-session,4.337,16.3783
382,inter-session,4.4157,16.3618
383,inter-session,4.4921,16.3571
384,inter-session,4.5662,16.3636
385,inter-session,4.6382,16.3806
386,inter-session,4.708,16.4076
387,inter-session,4.7757,16.4441
388,inter-session,4.8414,16.4898
389,inter-session,4.9052,16.5442
390,inter-session,4.9672,16.6069
391,inter-session,5.0272,16.6778
392,inter-session,5.0855,16.7566
393,inter-session,5.1421,16.843
394,inter-session,5.197,16.9368
395,inter-session,5.2503,17.0378
396,inter-session,5.302,17.146
397,inter-session,5.3522,17.2612
398,inter-session,5.4009,17.3832
399,inter-session,5.4482,17.512
400,inter-session,5.494,17.6474
401,inter-session,5.5385,17.7895
402,inter-session,5.5817,17.9382
403,inter-session,5.6236,18.0935
404,inter-session,5.6643,18.2552
405,inter-session,5.7038,18.4235
406,inter-session,5.7421,18.5982
407,inter-session,5.7793,18.7795
408,inter-session,5.8154,18.9674
409,inter-session,5.8504,19.1618
410,inter-session,5.8843,19.3628
411,inter-session,5.9173,19.5705
412,inter-session,5.9493,19.7849
413,inter-session,5.9804,20.006
414,inter-session,6.0105,20.234
415,inter-session,6.0398,20.469
416,inter-session,6.0681,20.7109
417,inter-session,6.0957,20.96
418,inter-session,6.1224,21.2163
419,inter-session,6.1483,21.4799
420,inter-session,6.1735,21.751
421,inter-session,6.1979,22.0297
422,inter-session,6.2216,22.3161
423,inter-session,6.2446,22.6103
424,inter-session,6.267,22.9126
425,inter-session,6.2886,23.223
426,inter-session,6.3097,23.5419
427,inter-session,6.3301,23.8692
428,inter-session,6.3499,24.2052
429,inter-session,6.3691,24.5502
430,inter-session,6.3877,24.9043
431,inter-session,6.4058,25.2677
432,inter-session,6.4234,25.6407
433,inter-session,6.4404,26.0234
434,inter-session,6.457,26.4162
435,inter-session,6.473,26.8193
436,inter-session,6.4886,27.2329
437,inter-session,6.5037,27.6574
438,inter-session,6.5184,28.093
439,inter-session,6.5326,28.54
440,inter-session,6.5464,28.9987
