step,t,phi_cardiac,c_cardiac,c_renal,psi,regime
185,9.25,1.9828,0.5437,0.4349,10000.0,overload
186,9.3,1.9826,0.5439,0.4345,10000.0,overload
187,9.35,1.9824,0.5441,0.4342,10000.0,overload
188,9.4,1.9822,0.5443,0.4339,10000.0,overload
189,9.45,1.982,0.5445,0.4336,10000.0,overload
190,9.5,1.9818,0.5447,0.4332,10000.0,overload
191,9.55,1.9816,0.5449,0.4329,10000.0,overload
192,9.6,1.9814,0.5451,0.4326,10000.0,overload
193,9.65,1.9812,0.5454,0.4323,10000.0,overload
194,9.7,1.981,0.5456,0.4319,10000.0,overload
195,9.75,1.9808,0.5458,0.4316,10000.0,overload
196,9.8,1.9806,0.546,0.4313,10000.0,overload
197,9.85,1.9804,0.5462,0.431,10000.0,overload
198,9.9,1.9802,0.5464,0.4307,10000.0,overload
199,9.95,1.98,0.5466,0.4303,10000.0,overload
200,10.0,1.9798,0.5468,0.43,10000.0,overload
201,10.05,1.9796,0.547,0.4297,10000.0,overload
202,10.1,1.9794,0.5472,0.4294,10000.0,overload
203,10.15,1.9792,0.5474,0.429,10000.0,overload
204,10.2,1.979,0.5476,0.4287,10000.0,overload
205,10.25,1.9788,0.5478,0.4284,10000.0,overload
206,10.3,1.9786,0.548,0.4281,10000.0,overload
207,10.35,1.9784,0.5482,0.4278,10000.0,overload
208,10.4,1.9782,0.5484,0.4274,10000.0,overload
209,10.45,1.978,0.5487,0.4271,10000.0,overload
210,10.5,1.9778,0.5489,0.4268,10000.0,overload
211,10.55,1.9776,0.5491,0.4265,10000.0,overload
212,10.6,1.9774,0.5493,0.4262,10000.0,overload
213,10.65,1.9772,0.5495,0.4258,10000.0,overload
214,10.7,1.977,0.5497,0.4255,10000.0,overload
215,10.75,1.9768,0.5499,0.4252,10000.0,overload
216,10.8,1.9766,0.5501,0.4249,10000.0,overload
217,10.85,1.9764,0.5503,0.4246,10000.0,overload
218,10.9,1.9762,0.5505,0.4242,10000.0,overload
219,10.95,1.976,0.5507,0.4239,10000.0,overload
220,11.0,1.9758,0.5509,0.4236,10000.0,overload
221,11.05,1.9756,0.5511,0.4233,10000.0,overload
222,11.1,1.9754,0.5513,0.423,10000.0,overload
223,11.15,1.9752,0.5515,0.4227,10000.0,overload
224,11.2,1.975,0.5517,0.4223,10000.0,overload
225,11.25,1.9748,0.5519,0.422,10000.0,overload
226,11.3,1.9746,0.5521,0.4217,10000.0,overload
227,11.35,1.9744,0.5523,0.4214,10000.0,overload
228,11.4,1.9742,0.5525,0.4211,10000.0,overload
229,11.45,1.974,0.5527,0.4208,10000.0,overload
230,11.5,1.9738,0.5529,0.4204,10000.0,overload
231,11.55,1.9736,0.5531,0.4201,10000.0,overload
232,11.6,1.9734,0.5533,0.4198,10000.0,overload
233,11.65,1.9732,0.5535,0.4195,10000.0,overload
234,11.7,1.973,0.5536,0.4192,10000.0,overload
235,11.75,1.9728,0.5538,0.4189,10000.0,overload
236,11.8,1.9726,0.554,0.4185,10000.0,overload
237,11.85,1.9724,0.5542,0.4182,10000.0,overload
238,11.9,1.9722,0.5544,0.4179,10000.0,overload
239,11.95,1.972,0.5546,0.4176,10000.0,overload
240,12.0,1.9718,0.5548,0.4173,10000.0,overload
241,12.05,1.9716,0.555,0.417,10000.0,overload
242,12.1,1.9714,0.5552,0.4167,10000.0,overload
243,12.15,1.9712,0.5554,0.4164,10000.0,overload
244,12.2,1.971,0.5556,0.416,10000.0,overload
245,12.25,1.9708,0.5558,0.4157,10000.0,overload
246,12.3,1.9706,0.556,0.4154,10000.0,overload
247,12.35,1.9704,0.5562,0.4151,10000.0,overload
248,12.4,1.9702,0.5564,0.4148,10000.0,overload
249,12.45,1.97,0.5566,0.4145,10000.0,overload
250,12.5,1.9698,0.5567,0.4142,10000.0,overload
251,12.55,1.9696,0.5569,0.4139,10000.0,overload
252,12.6,1.9694,0.5571,0.4136,10000.0,overload
253,12.65,1.9692,0.5573,0.4132,10000.0,overload
