step,t,phi_infect,c_immune,c_endo,c_renal,c_cardiac,c_total,psi,Ms,regime
84,4.2,3.1353,1.1062,0.6345,0.5609,0.5379,2.8395,18.5001,10.0895,overload
85,4.25,3.1141,1.117,0.6372,0.5617,0.5385,2.8545,19.2289,10.3565,overload
86,4.3,3.093,1.1277,0.64,0.5626,0.539,2.8693,19.9908,10.6282,overload
87,4.35,3.0722,1.1383,0.6427,0.5635,0.5396,2.8841,20.7878,10.9049,overload
88,4.4,3.0516,1.1488,0.6455,0.5643,0.5402,2.8989,21.6221,11.1869,overload
89,4.45,3.0312,1.1592,0.6484,0.5652,0.5407,2.9135,22.4961,11.4742,overload
90,4.5,3.011,1.1695,0.6512,0.5661,0.5413,2.9281,23.4122,11.7672,overload
91,4.55,2.991,1.1797,0.6541,0.567,0.5419,2.9427,24.3732,12.0661,overload
92,4.6,2.9711,1.1899,0.657,0.5678,0.5425,2.9572,25.382,12.3711,overload
93,4.65,2.9515,1.1999,0.66,0.5687,0.543,2.9716,26.4415,12.6825,overload
94,4.7,2.9321,1.2098,0.6629,0.5696,0.5436,2.986,27.5552,13.0005,overload
95,4.75,2.9129,1.2196,0.6659,0.5705,0.5442,3.0004,28.7267,13.3255,overload
96,4.8,2.8939,1.2294,0.669,0.5715,0.5448,3.0146,29.9598,13.6578,overload
97,4.85,2.875,1.239,0.672,0.5724,0.5454,3.0288,31.2587,13.9975,overload
98,4.9,2.8564,1.2486,0.6751,0.5733,0.546,3.043,32.6278,14.3452,overload
99,4.95,2.8379,1.2581,0.6782,0.5742,0.5466,3.0571,34.0722,14.7011,overload
100,5.0,2.8196,1.2675,0.6813,0.5752,0.5472,3.0712,35.5969,15.0656,overload
101,5.05,2.8015,1.2768,0.6845,0.5761,0.5479,3.0852,37.2079,15.439,overload
102,5.1,2.7836,1.286,0.6876,0.577,0.5485,3.0991,38.9112,15.8218,overload
103,5.15,2.7658,1.2951,0.6908,0.578,0.5491,3.1131,40.7137,16.2144,overload
104,5.2,2.7482,1.3042,0.6941,0.5789,0.5497,3.1269,42.6226,16.6173,overload
105,5.25,2.7308,1.3132,0.6973,0.5799,0.5504,3.1407,44.6459,17.0309,overload
106,5.3,2.7136,1.322,0.7006,0.5809,0.551,3.1545,46.7923,17.4557,overload
107,5.35,2.6966,1.3308,0.7039,0.5818,0.5516,3.1682,49.0713,17.8923,overload
108,5.4,2.6797,1.3396,0.7072,0.5828,0.5523,3.1818,51.4933,18.3413,overload
109,5.45,2.663,1.3482,0.7105,0.5838,0.5529,3.1955,54.0696,18.8031,overload
110,5.5,2.6464,1.3568,0.7139,0.5848,0.5536,3.209,56.8127,19.2785,overload
111,5.55,2.6301,1.3653,0.7173,0.5858,0.5543,3.2226,59.7362,19.7681,overload
