step,t,phi_infect,c_immune,c_endo,c_renal,c_cardiac,c_total,psi,Ms,regime
566,28.3,1.0172,2.3871,2.8063,1.8129,1.4414,8.4477,6711.0215,247.2681,overload
567,28.35,1.0171,2.3876,2.8107,1.8171,1.4445,8.4599,6728.6213,247.7681,overload
568,28.4,1.0169,2.3881,2.815,1.8214,1.4476,8.4722,6746.2277,248.2681,overload
569,28.45,1.0167,2.3886,2.8194,1.8257,1.4508,8.4844,6763.8407,248.7681,overload
570,28.5,1.0165,2.3891,2.8237,1.83,1.4539,8.4967,6781.4602,249.2681,overload
571,28.55,1.0164,2.3895,2.8281,1.8342,1.4571,8.509,6799.0861,249.7681,overload
572,28.6,1.0162,2.39,2.8324,1.8385,1.4602,8.5212,6816.7185,250.2681,overload
573,28.65,1.0161,2.3905,2.8368,1.8428,1.4634,8.5335,6834.3571,250.7681,overload
574,28.7,1.0159,2.391,2.8411,1.8471,1.4665,8.5458,6852.0021,251.2681,overload
575,28.75,1.0157,2.3915,2.8454,1.8514,1.4697,8.5581,6869.6533,251.7681,overload
576,28.8,1.0156,2.3919,2.8498,1.8558,1.4729,8.5703,6887.3107,252.2681,overload
577,28.85,1.0154,2.3924,2.8541,1.8601,1.4761,8.5826,6904.9742,252.7681,overload
578,28.9,1.0153,2.3929,2.8584,1.8644,1.4792,8.5949,6922.6438,253.2681,overload
579,28.95,1.0151,2.3933,2.8627,1.8687,1.4824,8.6072,6940.3195,253.7681,overload
580,29.0,1.015,2.3938,2.8671,1.873,1.4856,8.6195,6958.0011,254.2681,overload
581,29.05,1.0148,2.3943,2.8714,1.8774,1.4888,8.6319,6975.6886,254.7681,overload
582,29.1,1.0147,2.3948,2.8757,1.8817,1.492,8.6442,6993.3821,255.2681,overload
583,29.15,1.0145,2.3952,2.88,1.8861,1.4952,8.6565,7011.0813,255.7681,overload
584,29.2,1.0144,2.3957,2.8843,1.8904,1.4984,8.6688,7028.7863,256.2681,overload
585,29.25,1.0142,2.3961,2.8886,1.8948,1.5016,8.6812,7046.4971,256.7681,overload
586,29.3,1.0141,2.3966,2.8929,1.8992,1.5048,8.6935,7064.2135,257.2681,overload
587,29.35,1.014,2.3971,2.8972,1.9035,1.5081,8.7059,7081.9355,257.7681,overload
588,29.4,1.0138,2.3975,2.9015,1.9079,1.5113,8.7182,7099.6631,258.2681,overload
589,29.45,1.0137,2.398,2.9058,1.9123,1.5145,8.7306,7117.3963,258.7681,overload
590,29.5,1.0135,2.3984,2.9101,1.9167,1.5177,8.7429,7135.1349,259.2681,overload
591,29.55,1.0134,2.3989,2.9144,1.9211,1.521,8.7553,7152.8789,259.7681,overload
592,29.6,1.0133,2.3994,2.9187,1.9255,1.5242,8.7677,7170.6283,260.2681,overload
593,29.65,1.0131,2.3998,2.9229,1.9299,1.5274,8.7801,7188.3831,260.7681,overload
594,29.7,1.013,2.4003,2.9272,1.9343,1.5307,8.7924,7206.1431,261.2681,overload
595,29.75,1.0129,2.4007,2.9315,1.9387,1.5339,8.8048,7223.9084,261.7681,overload
596,29.8,1.0128,2.4012,2.9358,1.9431,1.5372,8.8172,7241.6788,262.2681,overload
597,29.85,1.0126,2.4016,2.94,1.9475,1.5404,8.8296,7259.4544,262.7681,overload
598,29.9,1.0125,2.4021,2.9443,1.9519,1.5437,8.842,7277.2351,263.2681,overload
599,29.95,1.0124,2.4025,2.9486,1.9564,1.547,8.8544,7295.0208,263.7681,overload
