step,psi_adaptive,psi_control,S_adaptive,Ms_adaptive
10.0,551.4743,51607.5958,16.121,20.1856
10.05,557.8428,52458.2542,16.298,20.3861
10.100000000000001,564.232,53256.8124,16.4762,20.5877
10.15,570.7269,54127.5527,16.6556,20.7903
10.200000000000001,577.2279,54943.5113,16.8361,20.9937
10.25,583.8226,55834.4216,17.0173,21.1977
10.3,590.3993,56670.7334,17.1996,21.4023
10.350000000000001,597.0743,57579.733,17.3827,21.6077
10.4,603.7223,58423.8954,17.5667,21.8138
10.450000000000001,610.4689,59341.3181,17.7515,22.0207
10.5,617.1733,60198.1598,17.9373,22.2285
10.55,623.962,61131.5348,18.1239,22.4371
10.600000000000001,630.7176,62005.2296,18.3114,22.6467
10.65,637.5587,62955.5331,18.4996,22.8573
10.700000000000001,644.3794,63847.1039,18.6888,23.069
10.75,651.2921,64813.7794,18.8788,23.2817
10.8,658.1951,65721.9382,19.0697,23.4955
10.850000000000001,665.197,66707.1666,19.2617,23.7105
10.9,672.2161,67633.0738,19.4548,23.9266
10.950000000000001,679.3367,68629.4948,19.6491,24.1439
11.0,686.5079,69577.1875,19.8445,24.3624
11.05,693.7696,70587.3294,20.041,24.5818
11.100000000000001,701.1031,71553.2872,20.2385,24.8021
11.15,708.5104,72580.0016,20.4368,25.0231
11.200000000000001,715.9684,73565.3218,20.636,25.2448
11.25,723.4847,74606.5078,20.836,25.4672
11.3,731.0083,75609.4774,21.0369,25.6903
11.350000000000001,738.6026,76667.4264,21.2385,25.9142
11.4,746.1734,77687.9451,21.441,26.139
11.450000000000001,753.8131,78762.6577,21.6442,26.3646
11.5,761.4129,79800.7951,21.8482,26.5911
11.55,769.0713,80892.2718,22.0531,26.8186
11.600000000000001,776.6967,81948.0975,22.2588,27.047
11.65,784.3755,83056.5448,22.4656,27.2763
11.700000000000001,792.0302,84132.3027,22.6732,27.5067
11.75,799.7323,85254.9296,22.8821,27.7383
11.8,807.4195,86348.7381,23.092,27.9709
11.850000000000001,815.1518,87488.1146,23.3033,28.2046
11.9,822.8837,88599.8379,23.5156,28.4394
11.950000000000001,830.6527,89755.9649,23.729,28.6752
12.0,838.4091,90885.6733,23.9433,28.912
12.05,846.184,92058.5898,24.1584,29.1497
12.100000000000001,853.9112,93207.3243,24.3743,29.3883
12.15,861.6688,94395.9464,24.5909,29.6276
12.200000000000001,869.3629,95562.8517,24.8082,29.8676
12.25,877.1142,96768.2207,25.0264,30.1084
12.3,884.798,97953.3296,25.2453,30.35
12.350000000000001,892.546,99175.6273,25.465,30.5924
12.4,900.234,100381.2386,25.6856,30.8357
12.450000000000001,908.0034,101617.6958,25.907,31.0799
12.5,915.7371,102841.8492,26.1293,31.3249
12.55,923.5741,104095.0411,26.3527,31.5709
12.600000000000001,931.3861,105337.627,26.577,31.8179
12.65,939.3089,106607.5549,26.8023,32.0658
12.700000000000001,947.2193,107868.6448,27.0287,32.3146
12.75,955.2433,109155.3476,27.2561,32.5644
12.8,963.287,110436.0304,27.4846,32.8151
12.850000000000001,971.444,111738.3794,27.7141,33.0669
12.9,979.6371,113037.7536,27.9445,33.3197
12.950000000000001,987.9379,114356.8364,28.1758,33.5735
13.0,996.2667,115674.9365,28.4079,33.8282
13.05,1004.7112,117011.0212,28.6407,34.0838
13.100000000000001,1013.1892,118350.5602,28.8744,34.3403
13.15,1021.794,119700.2075,29.1088,34.5977
13.200000000000001,1030.4286,121058.9013,29.344,34.8558
13.25,1039.1861,122425.2693,29.58,35.1148
13.3,1047.9561,123802.9238,29.8168,35.3746
13.350000000000001,1056.8382,125186.0141,30.0544,35.6352
13.4,1065.7173,126582.702,30.2928,35.8966
13.450000000000001,1074.7,127982.6864,30.5321,36.1587
13.5,1083.6827,129400.8949,30.7721,36.4215
13.55,1092.7647,130814.8508,31.0133,36.6853
13.600000000000001,1101.8586,132252.4235,31.2555,36.95
13.65,1111.0404,133683.0922,31.4989,37.2157
13.700000000000001,1120.235,135139.9323,31.7435,37.4823
13.75,1129.4919,136587.3158,31.9892,37.7497
13.8,1138.7496,138063.4967,32.236,38.0181
13.850000000000001,1148.0442,139527.6919,32.4836,38.2874
13.9,1157.306,141025.5428,32.7319,38.5577
13.950000000000001,1166.5879,142504.0112,32.9809,38.829
14.0,1175.8163,144021.458,33.2306,39.1012
14.05,1185.0473,145516.6345,33.4811,39.3743
14.100000000000001,1194.2166,147053.6561,33.7322,39.6483
14.15,1203.387,148565.5429,33.9842,39.9232
14.200000000000001,1212.4995,150122.2134,34.237,40.1989
14.25,1221.623,151650.8624,34.4907,40.4755
14.3,1230.7005,153228.7633,34.7451,40.753
14.350000000000001,1239.8035,154772.5208,35.0006,41.0312
14.4,1248.8742,156370.277,35.2569,41.3103
14.450000000000001,1257.9774,157930.7435,35.5142,41.5901
14.5,1267.0717,159548.3801,35.7725,41.8708
14.55,1276.2095,161125.7618,36.0317,42.1522
14.600000000000001,1285.3682,162766.1062,36.292,42.4344
14.65,1294.5899,164357.0421,36.5531,42.7174
14.700000000000001,1303.8461,166017.6358,36.8153,43.0013
14.75,1313.1836,167625.2727,37.0783,43.286
14.8,1322.5455,169305.9873,37.3423,43.5716
14.850000000000001,1332.0111,170930.3278,37.607,43.8582
14.9,1341.4977,172631.2386,37.8725,44.1456
14.950000000000001,1351.0962,174272.5255,38.1387,44.434
15.0,1360.7133,175996.6686,38.4057,44.7234
15.05,1370.4366,177651.2239,38.6735,45.0137
15.100000000000001,1380.1706,179395.971,38.942,45.3049
15.15,1390.0046,181067.2217,39.2113,45.5969
15.200000000000001,1399.8464,182832.4085,39.4814,45.8898
15.25,1409.7909,184520.3576,39.7523,46.1834
15.3,1419.7452,186306.0601,40.024,46.4779
15.350000000000001,1429.7963,188011.0407,40.2967,46.7732
15.4,1439.8683,189820.6819,40.5703,47.0694
15.450000000000001,1450.0352,191538.36,40.8448,47.3663
15.5,1460.2204,193369.0182,41.1203,47.6641
15.55,1470.5031,195103.3852,41.3967,47.9626
15.600000000000001,1480.7965,196954.8069,41.6741,48.2618
15.65,1491.1949,198705.866,41.9525,48.5619
15.700000000000001,1501.5959,200578.128,42.2318,48.8628
15.75,1512.1101,202346.3666,42.5119,49.1645
15.8,1522.6223,204243.0146,42.7929,49.4671
15.850000000000001,1533.237,206023.5145,43.0747,49.7706
15.9,1543.8442,207941.6607,43.3572,50.0751
15.950000000000001,1554.5377,209738.8431,43.6404,50.3804
16.0,1565.2253,211678.0803,43.9244,50.6866
16.05,1575.998,213491.9496,44.2091,50.9937
16.1,1586.7704,215452.3879,44.4946,51.3018
16.150000000000002,1597.6232,217283.5944,44.7809,51.6106
16.2,1608.4744,219268.7066,45.068,51.9202
16.25,1619.39,221111.8153,45.3559,52.2306
16.3,1630.3061,223118.9535,45.6447,52.5417
16.35,1641.2723,224978.739,45.9343,52.8537
16.400000000000002,1652.2419,227007.2992,46.2248,53.1665
16.45,1663.2583,228883.9789,46.5161,53.4801
16.5,1674.2688,230937.2772,46.8083,53.7946
16.55,1685.3263,232826.9762,47.1014,54.1098
16.6,1696.3645,234902.0824,47.3955,54.4259
16.650000000000002,1707.4489,236808.4539,47.6905,54.7428
16.7,1718.5116,238905.2329,47.9863,55.0605
16.75,1729.6052,240828.2809,48.2832,55.3789
16.8,1740.678,242946.8115,48.5808,55.6983
16.85,1751.77,244887.1018,48.8793,56.0185
16.900000000000002,1762.8405,247031.29,49.1784,56.3397
16.95,1773.9252,248983.3143,49.4783,56.6617
17.0,1784.9874,251149.9939,49.779,56.9846
17.05,1796.065,253118.6869,50.0803,57.3083
17.1,1807.1177,255307.3755,50.3825,57.6329
17.150000000000002,1818.1858,257292.8466,50.6855,57.9583
17.2,1829.2425,259506.6873,50.9893,58.2845
17.25,1840.3125,261505.5616,51.2939,58.6114
17.3,1851.3854,263741.6891,51.5994,58.9391
17.35,1862.4763,265757.2316,51.9057,59.2675
17.400000000000002,1873.5722,268015.6206,52.2129,59.5968
17.45,1884.7016,270047.8357,52.5209,59.9268
17.5,1895.838,272328.5662,52.8297,60.2577
17.55,1907.0268,274378.069,53.1394,60.5894
17.6,1918.2278,276685.2838,53.4499,60.922
17.650000000000002,1929.4865,278746.1846,53.7614,61.2554
17.7,1940.7679,281076.5325,54.0737,61.5897
17.75,1952.1055,283154.0993,54.3869,61.9248
17.8,1963.4796,285507.0504,54.7009,62.2607
17.85,1974.9172,287601.4764,55.0157,62.5975
17.900000000000002,1986.3972,289980.6297,55.3313,62.9351
17.95,1997.9416,292087.8361,55.6475,63.2736
18.0,2009.5291,294489.958,55.9646,63.613
18.05,2021.1768,296613.8297,56.2823,63.9532
18.1,2032.8749,299038.813,56.6008,64.2942
18.150000000000002,2044.6333,301179.3548,56.9201,64.6361
