step,t,psi_sensitive,psi_resistant,drug_on,regime_sensitive,regime_resistant
271,10.84,10000.0,10000.0,True,overload,overload
272,10.88,10000.0,10000.0,True,overload,overload
273,10.92,10000.0,10000.0,True,overload,overload
274,10.96,10000.0,10000.0,True,overload,overload
275,11.0,10000.0,10000.0,True,overload,overload
276,11.04,10000.0,10000.0,True,overload,overload
277,11.08,10000.0,10000.0,True,overload,overload
278,11.12,10000.0,10000.0,True,overload,overload
279,11.16,10000.0,10000.0,True,overload,overload
280,11.2,10000.0,10000.0,True,overload,overload
281,11.24,10000.0,10000.0,True,overload,overload
282,11.28,10000.0,10000.0,True,overload,overload
283,11.32,10000.0,10000.0,True,overload,overload
284,11.36,10000.0,10000.0,True,overload,overload
285,11.4,10000.0,10000.0,True,overload,overload
286,11.44,10000.0,10000.0,True,overload,overload
287,11.48,10000.0,10000.0,True,overload,overload
288,11.52,10000.0,10000.0,True,overload,overload
289,11.56,10000.0,10000.0,True,overload,overload
290,11.6,10000.0,10000.0,True,overload,overload
291,11.64,10000.0,10000.0,True,overload,overload
292,11.68,10000.0,10000.0,True,overload,overload
293,11.72,10000.0,10000.0,True,overload,overload
294,11.76,10000.0,10000.0,True,overload,overload
295,11.8,10000.0,10000.0,True,overload,overload
296,11.84,10000.0,10000.0,True,overload,overload
297,11.88,10000.0,10000.0,True,overload,overload
298,11.92,10000.0,10000.0,True,overload,overload
299,11.96,10000.0,10000.0,True,overload,overload
300,12.0,10000.0,10000.0,True,overload,overload
301,12.04,10000.0,10000.0,True,overload,overload
302,12.08,10000.0,10000.0,True,overload,overload
303,12.12,10000.0,10000.0,True,overload,overload
304,12.16,10000.0,10000.0,True,overload,overload
305,12.2,10000.0,10000.0,True,overload,overload
306,12.24,10000.0,10000.0,True,overload,overload
307,12.28,10000.0,10000.0,True,overload,overload
308,12.32,10000.0,10000.0,True,overload,overload
309,12.36,10000.0,10000.0,True,overload,overload
310,12.4,10000.0,10000.0,True,overload,overload
311,12.44,10000.0,10000.0,True,overload,overload
312,12.48,10000.0,10000.0,True,overload,overload
313,12.52,10000.0,10000.0,True,overload,overload
314,12.56,10000.0,10000.0,True,overload,overload
315,12.6,10000.0,10000.0,True,overload,overload
316,12.64,10000.0,10000.0,True,overload,overload
317,12.68,10000.0,10000.0,True,overload,overload
318,12.72,10000.0,10000.0,True,overload,overload
319,12.76,10000.0,10000.0,True,overload,overload
320,12.8,10000.0,10000.0,True,overload,overload
321,12.84,10000.0,10000.0,True,overload,overload
322,12.88,10000.0,10000.0,True,overload,overload
323,12.92,10000.0,10000.0,True,overload,overload
324,12.96,10000.0,10000.0,True,overload,overload
325,13.0,10000.0,10000.0,True,overload,overload
326,13.04,10000.0,10000.0,True,overload,overload
327,13.08,10000.0,10000.0,True,overload,overload
328,13.12,10000.0,10000.0,True,overload,overload
329,13.16,10000.0,10000.0,True,overload,overload
330,13.2,10000.0,10000.0,True,overload,overload
331,13.24,10000.0,10000.0,True,overload,overload
332,13.28,10000.0,10000.0,True,overload,overload
333,13.32,10000.0,10000.0,True,overload,overload
334,13.36,10000.0,10000.0,True,overload,overload
335,13.4,10000.0,10000.0,True,overload,overload
336,13.44,10000.0,10000.0,True,overload,overload
337,13.48,10000.0,10000.0,True,overload,overload
338,13.52,10000.0,10000.0,True,overload,overload
339,13.56,10000.0,10000.0,True,overload,overload
340,13.6,10000.0,10000.0,True,overload,overload
341,13.64,10000.0,10000.0,True,overload,overload
342,13.68,10000.0,10000.0,True,overload,overload
343,13.72,10000.0,10000.0,True,overload,overload
344,13.76,10000.0,10000.0,True,overload,overload
345,13.8,10000.0,10000.0,True,overload,overload
346,13.84,10000.0,10000.0,True,overload,overload
347,13.88,10000.0,10000.0,True,overload,overload
348,13.92,10000.0,10000.0,True,overload,overload
349,13.96,10000.0,10000.0,True,overload,overload
350,14.0,10000.0,10000.0,False,overload,overload
351,14.04,10000.0,10000.0,False,overload,overload
352,14.08,10000.0,10000.0,False,overload,overload
353,14.12,10000.0,10000.0,False,overload,overload
354,14.16,10000.0,10000.0,False,overload,overload
355,14.2,10000.0,10000.0,False,overload,overload
356,14.24,10000.0,10000.0,False,overload,overload
357,14.28,10000.0,10000.0,False,overload,overload
358,14.32,10000.0,10000.0,False,overload,overload
359,14.36,10000.0,10000.0,False,overload,overload
360,14.4,10000.0,10000.0,False,overload,overload
361,14.44,10000.0,10000.0,False,overload,overload
362,14.48,10000.0,10000.0,False,overload,overload
363,14.52,10000.0,10000.0,False,overload,overload
364,14.56,10000.0,10000.0,False,overload,overload
365,14.6,10000.0,10000.0,False,overload,overload
366,14.64,10000.0,10000.0,False,overload,overload
367,14.68,10000.0,10000.0,False,overload,overload
368,14.72,10000.0,10000.0,False,overload,overload
369,14.76,10000.0,10000.0,False,overload,overload
370,14.8,10000.0,10000.0,False,overload,overload
371,14.84,10000.0,10000.0,False,overload,overload
372,14.88,10000.0,10000.0,False,overload,overload
373,14.92,10000.0,10000.0,False,overload,overload
374,14.96,10000.0,10000.0,False,overload,overload
375,15.0,10000.0,10000.0,False,overload,overload
376,15.04,10000.0,10000.0,False,overload,overload
377,15.08,10000.0,10000.0,False,overload,overload
378,15.12,10000.0,10000.0,False,overload,overload
379,15.16,10000.0,10000.0,False,overload,overload
380,15.2,10000.0,10000.0,False,overload,overload
381,15.24,10000.0,10000.0,False,overload,overload
382,15.28,10000.0,10000.0,False,overload,overload
383,15.32,10000.0,10000.0,False,overload,overload
384,15.36,10000.0,10000.0,False,overload,overload
385,15.4,10000.0,10000.0,False,overload,overload
386,15.44,10000.0,10000.0,False,overload,overload
387,15.48,10000.0,10000.0,False,overload,overload
388,15.52,10000.0,10000.0,False,overload,overload
389,15.56,10000.0,10000.0,False,overload,overload
390,15.6,10000.0,10000.0,False,overload,overload
391,15.64,10000.0,10000.0,False,overload,overload
392,15.68,10000.0,10000.0,False,overload,overload
393,15.72,10000.0,10000.0,False,overload,overload
