step,t,mean_psi,std_psi,donor_species
303,12.12,10000.0,0.0,0
304,12.16,10000.0,0.0,0
305,12.2,10000.0,0.0,0
306,12.24,10000.0,0.0,0
307,12.28,10000.0,0.0,0
308,12.32,10000.0,0.0,0
309,12.36,10000.0,0.0,0
310,12.4,10000.0,0.0,0
311,12.44,10000.0,0.0,0
312,12.48,10000.0,0.0,0
313,12.52,10000.0,0.0,0
314,12.56,10000.0,0.0,0
315,12.6,10000.0,0.0,0
316,12.64,10000.0,0.0,0
317,12.68,10000.0,0.0,0
318,12.72,10000.0,0.0,0
319,12.76,10000.0,0.0,0
320,12.8,10000.0,0.0,0
321,12.84,10000.0,0.0,0
322,12.88,10000.0,0.0,0
323,12.92,10000.0,0.0,0
324,12.96,10000.0,0.0,0
325,13.0,10000.0,0.0,0
326,13.04,10000.0,0.0,0
327,13.08,10000.0,0.0,0
328,13.12,10000.0,0.0,0
329,13.16,10000.0,0.0,0
330,13.2,10000.0,0.0,0
331,13.24,10000.0,0.0,0
332,13.28,10000.0,0.0,0
333,13.32,10000.0,0.0,0
334,13.36,10000.0,0.0,0
335,13.4,10000.0,0.0,0
336,13.44,10000.0,0.0,0
337,13.48,10000.0,0.0,0
338,13.52,10000.0,0.0,0
339,13.56,10000.0,0.0,0
340,13.6,10000.0,0.0,0
341,13.64,10000.0,0.0,0
342,13.68,10000.0,0.0,0
343,13.72,10000.0,0.0,0
344,13.76,10000.0,0.0,0
345,13.8,10000.0,0.0,0
346,13.84,10000.0,0.0,0
347,13.88,10000.0,0.0,0
348,13.92,10000.0,0.0,0
349,13.96,10000.0,0.0,0
350,14.0,10000.0,0.0,0
351,14.04,10000.0,0.0,0
352,14.08,10000.0,0.0,0
353,14.12,10000.0,0.0,0
354,14.16,10000.0,0.0,0
355,14.2,10000.0,0.0,0
356,14.24,10000.0,0.0,0
357,14.28,10000.0,0.0,0
358,14.32,10000.0,0.0,0
359,14.36,10000.0,0.0,0
360,14.4,10000.0,0.0,0
361,14.44,10000.0,0.0,0
362,14.48,10000.0,0.0,0
363,14.52,10000.0,0.0,0
364,14.56,10000.0,0.0,0
365,14.6,10000.0,0.0,0
366,14.64,10000.0,0.0,0
367,14.68,10000.0,0.0,0
368,14.72,10000.0,0.0,0
369,14.76,10000.0,0.0,0
370,14.8,10000.0,0.0,0
371,14.84,10000.0,0.0,0
372,14.88,10000.0,0.0,0
373,14.92,10000.0,0.0,0
374,14.96,10000.0,0.0,0
375,15.0,10000.0,0.0,0
376,15.04,10000.0,0.0,0
377,15.08,10000.0,0.0,0
378,15.12,10000.0,0.0,0
379,15.16,10000.0,0.0,0
380,15.2,10000.0,0.0,0
381,15.24,10000.0,0.0,0
382,15.28,10000.0,0.0,0
383,15.32,10000.0,0.0,0
384,15.36,10000.0,0.0,0
385,15.4,10000.0,0.0,0
386,15.44,10000.0,0.0,0
387,15.48,10000.0,0.0,0
388,15.52,10000.0,0.0,0
389,15.56,10000.0,0.0,0
390,15.6,10000.0,0.0,0
391,15.64,10000.0,0.0,0
392,15.68,10000.0,0.0,0
393,15.72,10000.0,0.0,0
394,15.76,10000.0,0.0,0
395,15.8,10000.0,0.0,0
396,15.84,10000.0,0.0,0
397,15.88,10000.0,0.0,0
398,15.92,10000.0,0.0,0
399,15.96,10000.0,0.0,0
400,16.0,10000.0,0.0,0
401,16.04,10000.0,0.0,0
402,16.08,10000.0,0.0,0
403,16.12,10000.0,0.0,0
404,16.16,10000.0,0.0,0
405,16.2,10000.0,0.0,0
406,16.24,10000.0,0.0,0
407,16.28,10000.0,0.0,0
408,16.32,10000.0,0.0,0
409,16.36,10000.0,0.0,0
410,16.4,10000.0,0.0,0
411,16.44,10000.0,0.0,0
412,16.48,10000.0,0.0,0
413,16.52,10000.0,0.0,0
414,16.56,10000.0,0.0,0
415,16.6,10000.0,0.0,0
416,16.64,10000.0,0.0,0
417,16.68,10000.0,0.0,0
418,16.72,10000.0,0.0,0
419,16.76,10000.0,0.0,0
420,16.8,10000.0,0.0,0
421,16.84,10000.0,0.0,0
422,16.88,10000.0,0.0,0
423,16.92,10000.0,0.0,0
424,16.96,10000.0,0.0,0
425,17.0,10000.0,0.0,0
426,17.04,10000.0,0.0,0
427,17.08,10000.0,0.0,0
428,17.12,10000.0,0.0,0
429,17.16,10000.0,0.0,0
430,17.2,10000.0,0.0,0
431,17.24,10000.0,0.0,0
432,17.28,10000.0,0.0,0
433,17.32,10000.0,0.0,0
434,17.36,10000.0,0.0,0
435,17.4,10000.0,0.0,0
436,17.44,10000.0,0.0,0
437,17.48,10000.0,0.0,0
438,17.52,10000.0,0.0,0
439,17.56,10000.0,0.0,0
440,17.6,10000.0,0.0,0
441,17.64,10000.0,0.0,0
442,17.68,10000.0,0.0,0
443,17.72,10000.0,0.0,0
444,17.76,10000.0,0.0,0
445,17.8,10000.0,0.0,0
446,17.84,10000.0,0.0,0
447,17.88,10000.0,0.0,0
448,17.92,10000.0,0.0,0
449,17.96,10000.0,0.0,0
450,18.0,10000.0,0.0,0
451,18.04,10000.0,0.0,0
452,18.08,10000.0,0.0,0
453,18.12,10000.0,0.0,0
454,18.16,10000.0,0.0,0
455,18.2,10000.0,0.0,0
456,18.24,10000.0,0.0,0
457,18.28,10000.0,0.0,0
458,18.32,10000.0,0.0,0
459,18.36,10000.0,0.0,0
460,18.4,10000.0,0.0,0
461,18.44,10000.0,0.0,0
462,18.48,10000.0,0.0,0
463,18.52,10000.0,0.0,0
464,18.56,10000.0,0.0,0
465,18.6,10000.0,0.0,0
466,18.64,10000.0,0.0,0
467,18.68,10000.0,0.0,0
468,18.72,10000.0,0.0,0
469,18.76,10000.0,0.0,0
470,18.8,10000.0,0.0,0
471,18.84,10000.0,0.0,0
472,18.88,10000.0,0.0,0
473,18.92,10000.0,0.0,0
474,18.96,10000.0,0.0,0
475,19.0,10000.0,0.0,0
476,19.04,10000.0,0.0,0
477,19.08,10000.0,0.0,0
478,19.12,10000.0,0.0,0
479,19.16,10000.0,0.0,0
480,19.2,10000.0,0.0,0
481,19.24,10000.0,0.0,0
482,19.28,10000.0,0.0,0
483,19.32,10000.0,0.0,0
484,19.36,10000.0,0.0,0
