step,t,mean_Vm,mean_C_mem,mean_psi,pacemaker_Vm
245,9.8,-66.04,1.3535,1045.6067,-35.9472
246,9.84,-65.98,1.3528,1101.381,-35.2402
247,9.88,-65.92,1.352,1159.9587,-34.5403
248,9.92,-65.86,1.3513,1221.4674,-33.8471
249,9.96,-65.8,1.3506,1286.0341,-33.1603
250,10.0,-65.74,1.3499,1353.7995,-32.4798
251,10.04,-65.68,1.3492,1424.9124,-31.8054
252,10.08,-65.62,1.3486,1499.5285,-31.1368
253,10.12,-65.56,1.3479,1577.8102,-30.4738
254,10.16,-65.5,1.3472,1659.9272,-29.8162
255,10.2,-65.44,1.3466,1746.0567,-29.1639
256,10.24,-65.38,1.346,1836.3837,-28.5167
257,10.28,-65.32,1.3454,1931.1016,-27.8743
258,10.32,-65.26,1.3448,2030.412,-27.2367
259,10.36,-65.2,1.3442,2134.5256,-26.6037
260,10.4,-65.2,1.3439,2160.2808,-26.7655
261,10.44,-65.2,1.3437,2186.2206,-26.9224
262,10.48,-65.2,1.3435,2212.3485,-27.0744
263,10.52,-65.2,1.3433,2238.6689,-27.2219
264,10.56,-65.2,1.3431,2265.1862,-27.3649
265,10.6,-65.2,1.3428,2291.9055,-27.5037
266,10.64,-65.2,1.3426,2318.8326,-27.6383
267,10.68,-65.2,1.3424,2345.9736,-27.7691
268,10.72,-65.2,1.3422,2373.3353,-27.896
269,10.76,-65.2,1.342,2400.9254,-28.0194
270,10.8,-65.2,1.3418,2428.7507,-28.1392
271,10.84,-65.2,1.3416,2456.8169,-28.2556
272,10.88,-65.2,1.3414,2485.122,-28.3687
273,10.92,-65.2,1.3412,2513.6746,-28.4788
274,10.96,-65.2,1.341,2542.4838,-28.5858
275,11.0,-65.2,1.3408,2571.5598,-28.6899
276,11.04,-65.2,1.3406,2600.9134,-28.7913
277,11.08,-65.2,1.3404,2630.5567,-28.8899
278,11.12,-65.2,1.3402,2660.5025,-28.986
279,11.16,-65.2,1.34,2690.7652,-29.0795
280,11.2,-65.2,1.3398,2721.3601,-29.1706
281,11.24,-65.2,1.3396,2752.303,-29.2595
282,11.28,-65.2,1.3394,2783.6105,-29.346
283,11.32,-65.2,1.3392,2815.3022,-29.4305
284,11.36,-65.2,1.339,2847.3939,-29.5128
285,11.4,-65.2,1.3389,2879.9036,-29.5932
286,11.44,-65.2,1.3387,2912.8541,-29.6716
287,11.48,-65.2,1.3385,2946.271,-29.7481
288,11.52,-65.2,1.3383,2980.1814,-29.8229
289,11.56,-65.2,1.3381,3014.5633,-29.8959
290,11.6,-65.2,1.3379,3049.4168,-29.9672
291,11.64,-65.2,1.3378,3084.7616,-30.0369
292,11.68,-65.2,1.3376,3120.6191,-30.1051
293,11.72,-65.2,1.3374,3157.0034,-30.1718
294,11.76,-65.2,1.3372,3193.6704,-30.237
295,11.8,-65.2,1.337,3230.6114,-30.3008
296,11.84,-65.2,1.3369,3267.8261,-30.3632
297,11.88,-65.2,1.3367,3305.3144,-30.4244
298,11.92,-65.2,1.3365,3343.0762,-30.4842
299,11.96,-65.2,1.3363,3381.1112,-30.5429
300,12.0,-65.2,1.3362,3419.4193,-30.6004
301,12.04,-65.2,1.336,3458.0004,-30.6567
302,12.08,-65.2,1.3358,3496.8542,-30.7119
303,12.12,-65.2,1.3356,3535.9807,-30.7661
304,12.16,-65.2,1.3355,3575.3798,-30.8193
305,12.2,-65.2,1.3353,3615.0512,-30.8714
306,12.24,-65.2,1.3351,3654.995,-30.9226
307,12.28,-65.2,1.335,3695.2109,-30.9728
308,12.32,-65.2,1.3348,3735.6989,-31.0222
309,12.36,-65.2,1.3346,3776.4589,-31.0707
310,12.4,-65.2,1.3344,3817.4908,-31.1183
311,12.44,-65.2,1.3343,3858.7944,-31.1651
312,12.48,-65.2,1.3341,3900.3698,-31.2112
313,12.52,-65.2,1.334,3942.2168,-31.2564
314,12.56,-65.2,1.3338,3984.3354,-31.3009
315,12.6,-65.2,1.3336,4026.7254,-31.3448
316,12.64,-65.2,1.3335,4069.3869,-31.3879
317,12.68,-65.2,1.3333,4112.3197,-31.4303
318,12.72,-65.2,1.3331,4155.5239,-31.4721
319,12.76,-65.2,1.333,4198.9993,-31.5133
320,12.8,-65.14,1.3324,4383.7164,-30.7634
321,12.84,-65.08,1.3318,4576.2816,-30.0222
322,12.88,-65.02,1.3312,4777.0192,-29.2894
323,12.92,-64.96,1.3306,4986.2673,-28.5646
324,12.96,-64.9,1.3301,5204.3779,-27.8475
325,13.0,-64.84,1.3295,5431.7175,-27.138
326,13.04,-64.78,1.329,5668.6681,-26.4356
327,13.08,-64.72,1.3284,5915.6271,-25.7402
328,13.12,-64.66,1.3279,6173.0086,-25.0516
329,13.16,-64.6,1.3274,6441.2437,-24.3694
330,13.2,-64.54,1.3269,6720.7809,-23.6934
331,13.24,-64.48,1.3264,7012.0874,-23.0235
332,13.28,-64.42,1.3259,7315.6495,-22.3594
333,13.32,-64.36,1.3254,7631.9731,-21.7009
334,13.36,-64.3,1.3249,7961.585,-21.0479
335,13.4,-64.24,1.3245,8305.0333,-20.4001
336,13.44,-64.18,1.324,8662.8883,-19.7574
337,13.48,-64.12,1.3235,9035.7436,-19.1196
338,13.52,-64.06,1.3231,9424.2168,-18.4865
339,13.56,-64.0,1.3226,9828.9502,-17.858
340,13.6,-64.0,1.3224,9897.631,-18.0243
341,13.64,-64.0,1.3222,9966.6161,-18.1856
342,13.68,-64.0,1.322,10035.9001,-18.3421
343,13.72,-64.0,1.3217,10105.478,-18.494
344,13.76,-64.0,1.3215,10175.3453,-18.6416
345,13.8,-64.0,1.3213,10245.4981,-18.7848
346,13.84,-64.0,1.3211,10315.9325,-18.9239
347,13.88,-64.0,1.3209,10386.6452,-19.0591
348,13.92,-64.0,1.3207,10457.6331,-19.1906
349,13.96,-64.0,1.3204,10528.8934,-19.3183
350,14.0,-64.0,1.3202,10600.4237,-19.4426
351,14.04,-64.0,1.32,10672.2215,-19.5634
352,14.08,-64.0,1.3198,10744.2849,-19.681
353,14.12,-64.0,1.3196,10816.6119,-19.7955
354,14.16,-64.0,1.3194,10889.2009,-19.907
355,14.2,-64.0,1.3192,10962.0504,-20.0155
356,14.24,-64.0,1.319,11035.1589,-20.1213
357,14.28,-64.0,1.3188,11108.5252,-20.2243
358,14.32,-64.0,1.3186,11182.1483,-20.3248
359,14.36,-64.0,1.3184,11256.0271,-20.4227
360,14.4,-64.0,1.3182,11330.1609,-20.5183
361,14.44,-64.0,1.318,11404.5487,-20.6115
362,14.48,-64.0,1.3178,11479.19,-20.7025
363,14.52,-64.0,1.3176,11554.0842,-20.7913
364,14.56,-64.0,1.3174,11629.2308,-20.878
365,14.6,-64.0,1.3172,11704.6292,-20.9627
366,14.64,-64.0,1.317,11780.2793,-21.0455
367,14.68,-64.0,1.3168,11856.1805,-21.1264
368,14.72,-64.0,1.3166,11932.3328,-21.2056
369,14.76,-64.0,1.3164,12008.7359,-21.2829
370,14.8,-64.0,1.3162,12085.3897,-21.3586
371,14.84,-64.0,1.316,12162.294,-21.4327
372,14.88,-64.0,1.3158,12239.4488,-21.5052
373,14.92,-64.0,1.3156,12316.8542,-21.5762
374,14.96,-64.0,1.3154,12394.51,-21.6458
375,15.0,-64.0,1.3153,12472.4164,-21.7139
376,15.04,-64.0,1.3151,12550.5734,-21.7807
377,15.08,-64.0,1.3149,12628.9811,-21.8462
378,15.12,-64.0,1.3147,12707.6398,-21.9104
379,15.16,-64.0,1.3145,12786.5494,-21.9733
380,15.2,-64.0,1.3143,12865.7103,-22.0351
381,15.24,-64.0,1.3141,12945.1225,-22.0958
382,15.28,-64.0,1.314,13024.7864,-22.1553
383,15.32,-64.0,1.3138,13104.7022,-22.2138
384,15.36,-64.0,1.3136,13184.87,-22.2712
385,15.4,-64.0,1.3134,13265.2903,-22.3277
386,15.44,-64.0,1.3132,13345.9631,-22.3832
387,15.48,-64.0,1.313,13426.889,-22.4377
388,15.52,-64.0,1.3129,13508.068,-22.4913
389,15.56,-64.0,1.3127,13589.5006,-22.5441
390,15.6,-64.0,1.3125,13671.1871,-22.596
391,15.64,-64.0,1.3123,13753.1278,-22.6471
392,15.68,-64.0,1.3121,13835.3231,-22.6974
393,15.72,-64.0,1.312,13917.7732,-22.7469
394,15.76,-64.0,1.3118,14000.4785,-22.7957
395,15.8,-64.0,1.3116,14083.4395,-22.8437
396,15.84,-64.0,1.3114,14166.6563,-22.8911
397,15.88,-64.0,1.3113,14250.1295,-22.9378
398,15.92,-64.0,1.3111,14333.8594,-22.9838
399,15.96,-64.0,1.3109,14417.8463,-23.0292
400,16.0,-63.94,1.3105,14961.515,-22.2836
401,16.04,-63.88,1.31,15527.0676,-21.5466
402,16.08,-63.82,1.3096,16115.366,-20.818
403,16.12,-63.76,1.3091,16727.3064,-20.0974
404,16.16,-63.7,1.3087,17363.8208,-19.3846
405,16.2,-63.64,1.3083,18025.8783,-18.6792
406,16.24,-63.58,1.3079,18714.4861,-17.9811
407,16.28,-63.52,1.3075,19430.6917,-17.2899
408,16.32,-63.46,1.3071,20175.5834,-16.6054
409,16.36,-63.4,1.3067,20950.2927,-15.9274
410,16.4,-63.34,1.3063,21755.9953,-15.2556
411,16.44,-63.28,1.3059,22593.913,-14.5899
412,16.48,-63.22,1.3055,23465.3154,-13.93
413,16.52,-63.16,1.3051,24371.5216,-13.2757
414,16.56,-63.1,1.3047,25313.9019,-12.6268
415,16.6,-63.04,1.3044,26293.8801,-11.9832
416,16.64,-62.98,1.304,27312.9349,-11.3447
417,16.68,-62.92,1.3036,28372.6026,-10.711
418,16.72,-62.86,1.3033,29474.4785,-10.082
419,16.76,-62.8,1.3029,30620.2198,-9.4577
420,16.8,-62.8,1.3027,30729.339,-9.6281
421,16.84,-62.8,1.3024,30838.8564,-9.7936
422,16.88,-62.8,1.3022,30948.7547,-9.9543
423,16.92,-62.8,1.302,31059.0181,-10.1103
424,16.96,-62.8,1.3018,31169.6323,-10.262
425,17.0,-62.8,1.3016,31280.5845,-10.4093
426,17.04,-62.8,1.3014,31391.8632,-10.5526
427,17.08,-62.8,1.3012,31503.4578,-10.6919
428,17.12,-62.8,1.3009,31615.359,-10.8274
429,17.16,-62.8,1.3007,31727.5583,-10.9593
430,17.2,-62.8,1.3005,31840.0481,-11.0877
431,17.24,-62.8,1.3003,31952.8216,-11.2126
432,17.28,-62.8,1.3001,32065.8727,-11.3343
433,17.32,-62.8,1.2999,32179.196,-11.4529
434,17.36,-62.8,1.2997,32292.7866,-11.5684
435,17.4,-62.8,1.2995,32406.6401,-11.6811
436,17.44,-62.8,1.2993,32520.7529,-11.7909
