step,mean_morphogen,mean_C,mean_psi
410,0.2162,0.8751,579.4542
411,0.2165,0.875,582.7756
412,0.2167,0.8749,586.1078
413,0.2169,0.8748,589.4507
414,0.2171,0.8747,592.8043
415,0.2174,0.8746,596.1685
416,0.2176,0.8745,599.5433
417,0.2178,0.8744,602.9287
418,0.218,0.8744,606.3246
419,0.2182,0.8743,609.7311
420,0.2185,0.8742,613.148
421,0.2187,0.8741,616.5754
422,0.2189,0.874,620.0131
423,0.2191,0.8739,623.4613
424,0.2193,0.8738,626.9198
425,0.2195,0.8738,630.3886
426,0.2198,0.8737,633.8677
427,0.22,0.8736,637.357
428,0.2202,0.8735,640.8565
429,0.2204,0.8734,644.3662
430,0.2206,0.8733,647.8861
431,0.2208,0.8733,651.4161
432,0.2211,0.8732,654.9561
433,0.2213,0.8731,658.5062
434,0.2215,0.873,662.0664
435,0.2217,0.8729,665.6365
436,0.2219,0.8729,669.2165
437,0.2221,0.8728,672.8065
438,0.2223,0.8727,676.4064
439,0.2226,0.8726,680.0161
440,0.2228,0.8726,683.6357
441,0.223,0.8725,687.2651
442,0.2232,0.8724,690.9042
443,0.2234,0.8723,694.5531
444,0.2236,0.8723,698.2116
445,0.2238,0.8722,701.8799
446,0.224,0.8721,705.5577
447,0.2243,0.8721,709.2452
448,0.2245,0.872,712.9423
449,0.2247,0.8719,716.6489
450,0.2249,0.8719,720.3651
451,0.2251,0.8718,724.0907
452,0.2253,0.8717,727.8258
453,0.2255,0.8717,731.5703
454,0.2257,0.8716,735.3242
455,0.2259,0.8715,739.0875
456,0.2261,0.8715,742.8601
457,0.2264,0.8714,746.6421
458,0.2266,0.8713,750.4333
459,0.2268,0.8713,754.2338
460,0.227,0.8712,758.0435
461,0.2272,0.8712,761.8624
462,0.2274,0.8711,765.6904
463,0.2276,0.871,769.5276
464,0.2278,0.871,773.3739
465,0.228,0.8709,777.2293
466,0.2282,0.8709,781.0937
467,0.2284,0.8708,784.9671
468,0.2286,0.8707,788.8496
469,0.2288,0.8707,792.741
470,0.229,0.8706,796.6413
471,0.2292,0.8706,800.5506
472,0.2294,0.8705,804.4687
473,0.2296,0.8705,808.3957
474,0.2298,0.8704,812.3315
475,0.23,0.8704,816.2761
476,0.2302,0.8703,820.2295
477,0.2304,0.8703,824.1917
478,0.2306,0.8702,828.1625
479,0.2308,0.8702,832.1421
480,0.231,0.8701,836.1303
481,0.2313,0.8701,840.1271
482,0.2315,0.87,844.1326
483,0.2317,0.87,848.1467
484,0.2319,0.8699,852.1693
485,0.2321,0.8699,856.2005
486,0.2323,0.8698,860.2401
487,0.2324,0.8698,864.2883
488,0.2326,0.8697,868.3449
489,0.2328,0.8697,872.4099
490,0.233,0.8697,876.4834
491,0.2332,0.8696,880.5652
492,0.2334,0.8696,884.6554
493,0.2336,0.8695,888.754
494,0.2338,0.8695,892.8608
495,0.234,0.8695,896.9759
496,0.2342,0.8694,901.0993
497,0.2344,0.8694,905.231
498,0.2346,0.8693,909.3708
499,0.2348,0.8693,913.5188
500,0.235,0.8693,917.6751
501,0.2352,0.8692,921.8394
502,0.2354,0.8692,926.0119
503,0.2356,0.8691,930.1924
504,0.2358,0.8691,934.3811
505,0.236,0.8691,938.5778
506,0.2362,0.869,942.7825
507,0.2364,0.869,946.9952
508,0.2366,0.869,951.2159
509,0.2368,0.8689,955.4446
510,0.237,0.8689,959.6812
511,0.2372,0.8689,963.9258
512,0.2373,0.8689,968.1782
513,0.2375,0.8688,972.4385
514,0.2377,0.8688,976.7067
515,0.2379,0.8688,980.9827
516,0.2381,0.8687,985.2665
517,0.2383,0.8687,989.5581
518,0.2385,0.8687,993.8575
519,0.2387,0.8687,998.1647
520,0.2389,0.8686,1002.4796
521,0.2391,0.8686,1006.8022
522,0.2393,0.8686,1011.1324
523,0.2394,0.8686,1015.4704
524,0.2396,0.8685,1019.816
525,0.2398,0.8685,1024.1693
526,0.24,0.8685,1028.5302
527,0.2402,0.8685,1032.8987
528,0.2404,0.8684,1037.2748
529,0.2406,0.8684,1041.6584
530,0.2408,0.8684,1046.0496
531,0.241,0.8684,1050.4483
532,0.2411,0.8684,1054.8546
533,0.2413,0.8683,1059.2683
534,0.2415,0.8683,1063.6895
535,0.2417,0.8683,1068.1182
536,0.2419,0.8683,1072.5543
537,0.2421,0.8683,1076.9979
538,0.2423,0.8683,1081.4489
539,0.2424,0.8682,1085.9073
540,0.2426,0.8682,1090.3731
541,0.2428,0.8682,1094.8463
542,0.243,0.8682,1099.3269
543,0.2432,0.8682,1103.8148
544,0.2434,0.8682,1108.31
545,0.2436,0.8682,1112.8126
546,0.2437,0.8681,1117.3225
547,0.2439,0.8681,1121.8396
548,0.2441,0.8681,1126.3641
549,0.2443,0.8681,1130.8959
550,0.2445,0.8681,1135.4349
551,0.2447,0.8681,1139.9812
552,0.2448,0.8681,1144.5348
553,0.245,0.8681,1149.0956
554,0.2452,0.8681,1153.6636
555,0.2454,0.8681,1158.2389
556,0.2456,0.8681,1162.8214
557,0.2458,0.868,1167.4111
558,0.2459,0.868,1172.008
559,0.2461,0.868,1176.6121
560,0.2463,0.868,1181.2235
561,0.2465,0.868,1185.842
562,0.2467,0.868,1190.4678
563,0.2468,0.868,1195.1007
564,0.247,0.868,1199.7409
565,0.2472,0.868,1204.3882
566,0.2474,0.868,1209.0428
567,0.2476,0.868,1213.7045
568,0.2477,0.868,1218.3735
569,0.2479,0.868,1223.0497
570,0.2481,0.868,1227.7331
571,0.2483,0.868,1232.4237
572,0.2485,0.868,1237.1216
573,0.2486,0.868,1241.8267
574,0.2488,0.868,1246.5391
575,0.249,0.868,1251.2587
576,0.2492,0.868,1255.9857
577,0.2493,0.868,1260.72
578,0.2495,0.868,1265.4615
579,0.2497,0.868,1270.2105
580,0.2499,0.868,1274.9668
581,0.25,0.868,1279.7305
582,0.2502,0.8681,1284.5017
583,0.2504,0.8681,1289.2803
584,0.2506,0.8681,1294.0664
585,0.2507,0.8681,1298.8601
586,0.2509,0.8681,1303.6613
587,0.2511,0.8681,1308.4701
588,0.2513,0.8681,1313.2866
589,0.2514,0.8681,1318.1109
590,0.2516,0.8681,1322.9429
591,0.2518,0.8681,1327.7827
592,0.252,0.8681,1332.6305
593,0.2521,0.8682,1337.4862
594,0.2523,0.8682,1342.35
595,0.2525,0.8682,1347.222
596,0.2527,0.8682,1352.1021
597,0.2528,0.8682,1356.9906
598,0.253,0.8682,1361.8875
599,0.2532,0.8682,1366.793
