step,t,c_wildlife,c_host,psi_host,regime,phase
329,16.45,0.536,0.5,10000.0,overload,stable
330,16.5,0.5362,0.5,10000.0,overload,stable
331,16.55,0.5364,0.5,10000.0,overload,stable
332,16.6,0.5366,0.5,10000.0,overload,stable
333,16.65,0.5368,0.5,10000.0,overload,stable
334,16.7,0.537,0.5,10000.0,overload,stable
335,16.75,0.5372,0.5,10000.0,overload,stable
336,16.8,0.5374,0.5,10000.0,overload,stable
337,16.85,0.5376,0.5,10000.0,overload,stable
338,16.9,0.5378,0.5,10000.0,overload,stable
339,16.95,0.538,0.5,10000.0,overload,stable
340,17.0,0.5382,0.5,10000.0,overload,stable
341,17.05,0.5384,0.5,10000.0,overload,stable
342,17.1,0.5386,0.5,10000.0,overload,stable
343,17.15,0.5388,0.5,10000.0,overload,stable
344,17.2,0.539,0.5,10000.0,overload,stable
345,17.25,0.5392,0.5,10000.0,overload,stable
346,17.3,0.5394,0.5,10000.0,overload,stable
347,17.35,0.5396,0.5,10000.0,overload,stable
348,17.4,0.5398,0.5,10000.0,overload,stable
349,17.45,0.54,0.5,10000.0,overload,stable
350,17.5,0.5402,0.5,10000.0,overload,stable
351,17.55,0.5404,0.5,10000.0,overload,stable
352,17.6,0.5406,0.5,10000.0,overload,stable
353,17.65,0.5408,0.5,10000.0,overload,stable
354,17.7,0.541,0.5,10000.0,overload,stable
355,17.75,0.5412,0.5,10000.0,overload,stable
356,17.8,0.5414,0.5,10000.0,overload,stable
357,17.85,0.5416,0.5,10000.0,overload,stable
358,17.9,0.5418,0.5,10000.0,overload,stable
359,17.95,0.542,0.5,10000.0,overload,stable
360,18.0,0.5422,0.5,10000.0,overload,stable
361,18.05,0.5424,0.5,10000.0,overload,stable
362,18.1,0.5426,0.5,10000.0,overload,stable
363,18.15,0.5428,0.5,10000.0,overload,stable
364,18.2,0.543,0.5,10000.0,overload,stable
365,18.25,0.5432,0.5,10000.0,overload,stable
366,18.3,0.5434,0.5,10000.0,overload,stable
367,18.35,0.5436,0.5,10000.0,overload,stable
368,18.4,0.5438,0.5,10000.0,overload,stable
369,18.45,0.544,0.5,10000.0,overload,stable
370,18.5,0.5442,0.5,10000.0,overload,stable
371,18.55,0.5444,0.5,10000.0,overload,stable
372,18.6,0.5446,0.5,10000.0,overload,stable
373,18.65,0.5448,0.5,10000.0,overload,stable
374,18.7,0.545,0.5,10000.0,overload,stable
375,18.75,0.5452,0.5,10000.0,overload,stable
376,18.8,0.5454,0.5,10000.0,overload,stable
377,18.85,0.5456,0.5,10000.0,overload,stable
378,18.9,0.5458,0.5,10000.0,overload,stable
379,18.95,0.546,0.5,10000.0,overload,stable
380,19.0,0.5462,0.5,10000.0,overload,stable
381,19.05,0.5464,0.5,10000.0,overload,stable
382,19.1,0.5466,0.5,10000.0,overload,stable
383,19.15,0.5468,0.5,10000.0,overload,stable
384,19.2,0.547,0.5,10000.0,overload,stable
385,19.25,0.5472,0.5,10000.0,overload,stable
386,19.3,0.5474,0.5,10000.0,overload,stable
387,19.35,0.5476,0.5,10000.0,overload,stable
388,19.4,0.5478,0.5,10000.0,overload,stable
389,19.45,0.548,0.5,10000.0,overload,stable
390,19.5,0.5482,0.5,10000.0,overload,stable
391,19.55,0.5484,0.5,10000.0,overload,stable
392,19.6,0.5486,0.5,10000.0,overload,stable
393,19.65,0.5488,0.5,10000.0,overload,stable
394,19.7,0.549,0.5,10000.0,overload,stable
395,19.75,0.5492,0.5,10000.0,overload,stable
396,19.8,0.5494,0.5,10000.0,overload,stable
397,19.85,0.5496,0.5,10000.0,overload,stable
398,19.9,0.5498,0.5,10000.0,overload,stable
399,19.95,0.55,0.5,10000.0,overload,stable
400,20.0,0.5502,0.5,10000.0,overload,stable
401,20.05,0.5504,0.5,10000.0,overload,stable
402,20.1,0.5506,0.5,10000.0,overload,stable
403,20.15,0.5508,0.5,10000.0,overload,stable
404,20.2,0.551,0.5,10000.0,overload,stable
405,20.25,0.5512,0.5,10000.0,overload,stable
406,20.3,0.5514,0.5,10000.0,overload,stable
407,20.35,0.5516,0.5,10000.0,overload,stable
408,20.4,0.5518,0.5,10000.0,overload,stable
409,20.45,0.552,0.5,10000.0,overload,stable
410,20.5,0.5522,0.5,10000.0,overload,stable
411,20.55,0.5524,0.5,10000.0,overload,stable
412,20.6,0.5526,0.5,10000.0,overload,stable
413,20.65,0.5528,0.5,10000.0,overload,stable
414,20.7,0.553,0.5,10000.0,overload,stable
415,20.75,0.5532,0.5,10000.0,overload,stable
416,20.8,0.5534,0.5,10000.0,overload,stable
417,20.85,0.5536,0.5,10000.0,overload,stable
418,20.9,0.5538,0.5,10000.0,overload,stable
419,20.95,0.554,0.5,10000.0,overload,stable
420,21.0,0.5542,0.5,10000.0,overload,stable
421,21.05,0.5544,0.5,10000.0,overload,stable
422,21.1,0.5546,0.5,10000.0,overload,stable
