t,mean_phi,mean_C,mean_Ms,mean_psi_s,center_C,center_Ms,center_psi_s
2.94,3.7584794187256736,1.998519998885854,1.013155555555554,1.2592301186069197,9.311136531407932,1.118399999999987,3.010054467547821
3.08,3.7627050517912792,2.068643224390742,1.0132499999999984,1.2421462000161871,9.888253243772372,1.1192499999999865,2.8359912776803258
3.22,3.768061329880341,2.138862205985798,1.0131333333333317,1.2269384545724276,10.466166439886617,1.1181999999999856,2.6772902008466497
3.36,3.7719456533937583,2.2091770273831006,1.013016666666665,1.2135445903549524,11.044876949882852,1.1171499999999848,2.533490344645557
3.5,3.7774846700345472,2.279587772217681,1.0128999999999984,1.2020269826322583,11.62438560681817,1.1160999999999843,2.405235421170219
3.64,3.7831176055079285,2.3500945239329885,1.0127833333333316,1.191985039180441,12.204693245747873,1.1150499999999839,2.2889881645698678
3.7800000000000002,3.7888462617843066,2.4206973656781,1.0126666666666648,1.1832335011747892,12.78580070290808,1.113999999999983,2.183137499539467
3.92,3.794672516090469,2.4913963802143013,1.012549999999998,1.1756188700579477,13.367708814986518,1.1129499999999821,2.086348334639703
4.0600000000000005,3.800598320502017,2.562191649829185,1.0124333333333313,1.1690129352240075,13.950418418464919,1.1118999999999817,1.9975048718295176
4.2,3.8066257020404226,2.6330832562567346,1.0123166666666645,1.163307827323664,14.533930349019473,1.1108499999999812,1.9156673430747597
4.34,3.812756763200836,2.7040712806021663,1.0121999999999978,1.1584121931565816,15.11824544096839,1.1097999999999804,1.8400386035732414
4.48,3.8189936828540305,2.7751558032705166,1.012083333333331,1.1542482060666517,15.7033645267577,1.1087499999999795,1.7699380568084655
4.62,3.8253387174790823,2.846336903898115,1.0119666666666645,1.1507492063027047,16.28928843647777,1.107699999999979,1.7047810998673407
4.76,3.8317942026936325,2.916781161275141,1.0118499999999977,1.1479237055022016,16.868516497304434,1.1066499999999786,1.6446557260026067
4.9,3.8383625550566185,2.982875207558174,1.011733333333331,1.1460001329802596,17.408528521555283,1.1055999999999777,1.5916257065994264
5.04,3.8450462741247344,3.040718666046297,1.0116166666666642,1.1451844121212345,17.87422124682326,1.1045499999999768,1.5475491652769593
5.18,3.8518479447490086,3.0986399216113973,1.0114999999999972,1.14474465112397,18.340550270003718,1.1034999999999764,1.5058411166468655
5.32,3.858770239602064,3.156639022332742,1.0113833333333306,1.1446593812972456,18.80751616216576,1.102449999999976,1.4663078798359297
5.46,3.865815921930055,3.204713014699609,1.0112666666666639,1.1457030271163167,19.185092485542285,1.101399999999975,1.4359165337396336
5.6000000000000005,3.8729878485261824,3.245343429041238,1.011149999999997,1.147567117573509,19.495613162572347,1.1003499999999742,1.411886007097508
5.74,3.880288972925144,3.286027276334102,1.0110333333333306,1.149626285189747,19.80655144734616,1.0992999999999737,1.388581226589495
5.88,3.887722348820008,3.3267645651237117,1.0109166666666638,1.1518778547678212,20.11790757808793,1.0982499999999733,1.365969546471202
6.0200000000000005,3.8952911337049065,3.3675553024576335,1.010799999999997,1.1543195561215498,20.42968178574701,1.0971999999999724,1.3440202717639713
6.16,3.902998592748637,3.4083994938172726,1.01068333333333,1.1569494980030388,20.741874293585795,1.0961499999999715,1.3227045132005837
6.3,3.910848102905869,3.4492971430479042,1.0105666666666633,1.1597661452825845,21.054485316759816,1.095099999999971,1.301995055047805
6.44,3.918843157274059,3.490248252286707,1.0104499999999967,1.1627682989930865,21.367515061888554,1.0940499999999707,1.2818662344801328
6.58,3.9269873697056883,3.531252821888589,1.01033333333333,1.1659550789100397,21.680963726615246,1.0929999999999698,1.2622938313340253
6.72,3.935284479686742,3.572310850349573,1.0102166666666632,1.1693259083875371,21.994831499154138,1.091949999999969,1.2432549672065796
6.86,3.9437383574937632,3.613422334227523,1.0100999999999967,1.1728805012121828,22.309118557823655,1.0908999999999685,1.224728012980028
7.0,3.9523530096431725,3.654587268059963,1.00998333333333,1.1766188502717567,22.62382507056391,1.089849999999968,1.2066925039559566
7.140000000000001,3.9611325846479724,3.6935864119559687,1.009866666666663,1.1806365545515252,22.918978103531508,1.0887999999999671,1.1899870920505313
7.28,3.9700813790983793,3.7320985219088527,1.0097499999999962,1.1848585106652267,23.20968669419316,1.0877499999999662,1.173912771600322
7.42,3.9792038440844633,3.7706606557443982,1.0096333333333294,1.1892621987475858,23.50078460515124,1.0866999999999658,1.1582424477811903
7.5600000000000005,3.988504591980446,3.7966651699018845,1.0095166666666628,1.194389211127402,23.678803295477024,1.0856499999999654,1.147824683865033
7.7,3.997988403611981,3.820201399477813,1.009399999999996,1.1997905496519832,23.834547041421757,1.0845999999999645,1.1385913605127371
7.84,4.007660235829527,3.8437685496404725,1.0092833333333293,1.2053598266572907,23.990508959479172,1.0835499999999636,1.1295564623344008
7.98,4.01752522951281,3.8673666232456867,1.0091666666666628,1.211099633905365,24.14668935527355,1.0824999999999632,1.1207133708229107
8.120000000000001,4.0275887180334164,3.89099562205189,1.0090499999999958,1.2170127566827027,24.303088534857316,1.0814499999999627,1.1120557585542215
8.26,4.037856236204735,3.914655546678154,1.008933333333329,1.2231021762384033,24.45970680471161,1.0803999999999618,1.1035775733590314
