scenario,t,flux_proxy_phi,constraint_proxy_C,responsiveness_S,memory_Ms,psi_s_proxy,constraint_signal,flux_decline_signal
healthy,7.800000000000001,1.0,1.0370403392874172,0.9925919321425165,1.00189172913735,0.9589498205107239,0,0
healthy,8.0,1.0,1.037162203033963,0.9925675593932074,1.0019544762516976,0.9588736517847062,0,0
healthy,8.200000000000001,1.0,1.037269603245549,0.9925460793508902,1.0020170678835918,0.9588135129561857,0,0
healthy,8.4,1.0,1.0373730356469872,0.9925253928706026,1.002079499745199,0.9587576647891918,0,0
healthy,8.6,1.0,1.0374733485178378,0.9925053302964324,1.002141752602218,0.9587051393573306,0,0
healthy,8.8,1.0,1.0375809668192486,0.9924838066361503,1.0022038467916063,0.9586443089239925,0,0
healthy,9.0,1.0,1.0376820131228972,0.9924635973754206,1.0022657723582646,0.9585906678360526,0,0
healthy,9.200000000000001,1.0,1.0377755169103593,0.9924448966179281,1.0023275212341134,0.95854528939944,0,0
healthy,9.4,1.0,1.0378730841590993,0.9924253831681802,1.0023890884528879,0.9584952056035438,0,0
healthy,9.600000000000001,1.0,1.0379778275755434,0.9924044344848914,1.002450495885311,0.9584369637180498,0,0
healthy,9.8,1.0,1.038084839504671,0.9923830320990659,1.0025117429700612,0.9583760453319599,0,0
healthy,10.0,1.0,1.038197835103855,0.992360432979229,1.0025728416803943,0.9583083162214907,0,0
healthy,10.200000000000001,1.0,1.038303512370304,0.9923392975259392,1.002633794647215,0.9582486273061368,0,0
healthy,10.4,1.0,1.038422511164716,0.9923154977670567,1.0026946106355539,0.9581739522818744,0,0
healthy,10.600000000000001,1.0,1.0385488334988777,0.9922902333002245,1.0027553100430648,0.9580910097346396,0,0
healthy,10.8,1.0,1.038678765487754,0.9922642469024492,1.002815903689467,0.9580039570645864,0,0
healthy,11.0,1.0,1.0388168866502308,0.9922366226699538,1.0028764003449386,0.9579076979027865,0,0
healthy,11.200000000000001,1.0,1.038944163170168,0.9922111673659664,1.002936801635863,0.9578234615698183,0,0
healthy,11.4,1.0,1.0390825212689632,0.9921834957462073,1.0029971052103568,0.9577267961890248,0,0
healthy,11.600000000000001,1.0,1.0392142456270905,0.9921571508745819,1.0030573173895125,0.9576374596217689,0,0
healthy,11.8,1.0,1.0393517643089696,0.9921296471382061,1.0031174395219462,0.9575415999536785,0,0
early_disease,0.0,1.0,1.0032410726890528,0.9993517854621894,1.000003889287227,0.9961271517220535,0,0
early_disease,0.2,1.0,1.0160278643664187,0.9967944271267163,1.0000577977500689,0.9811266743392997,0,0
early_disease,0.4,1.0,1.0285137888740354,0.9942972422251929,1.0001717296018051,0.9668980652008266,0,0
early_disease,0.6000000000000001,1.0,1.0407521149392738,0.9918495770121453,1.0003440520859987,0.9533401956968457,0,0
early_disease,0.8,1.0,1.052658780787199,0.9894682438425602,1.0005729095893492,0.9405090593054725,0,0
early_disease,1.0,1.0,1.064297190867664,0.9871405618264673,1.0008566513393866,0.9282991683041717,0,0
early_disease,1.2000000000000002,1.0,1.075667443943961,0.9848665112112078,1.0011936396055203,0.9166793068216257,0,0
early_disease,1.4000000000000001,1.0,1.086762184448387,0.9826475631103226,1.0015822386304534,0.9056280758833662,0,0
early_disease,1.6,1.0,1.0975657646656165,0.9804868470668767,1.002020702914405,0.8951337143752826,0,0
early_disease,1.8,0.99933462843096,1.1081573878613853,0.978368522427723,1.0025076482566622,0.8845037052135337,1,0
early_disease,2.0,0.9974380163664969,1.1184394007168719,0.9763121198566256,1.003041509369217,0.8733353620266725,1,0
early_disease,2.2,0.9948391859869093,1.1285014397767597,0.974299712044648,1.0036207861846629,0.862011356940804,1,0
early_disease,2.4000000000000004,0.9918568017945877,1.1382932529642702,0.972341349407146,1.004243965127271,0.8508496011468636,1,0
early_disease,2.6,0.9886796328001239,1.1478426902880692,0.9704314619423862,1.0049096113170375,0.8399725290509932,1,0
early_disease,2.8000000000000003,0.9854287542086283,1.1570879814938748,0.9685824037012251,1.0056160439746262,0.8295214420878602,1,0
early_disease,3.0,0.982168142771618,1.166096500075469,0.9667806999849062,1.006361864663142,0.8194708217933395,1,0
early_disease,3.2,0.9789411383520829,1.1748280541819167,0.9650343891636166,1.0071455307714943,0.809873689839617,1,0
early_disease,3.4000000000000004,0.9757720097153755,1.1833101264222818,0.9633379747155436,1.0079655586266503,0.8007079644547421,1,0
early_disease,3.6,0.9726737093995681,1.1915392137497707,0.9616921572500459,1.0088205296758022,0.7919701695822867,1,0
early_disease,3.8000000000000003,0.9696557217044905,1.1994996038821348,0.960100079223573,1.009708981547656,0.7836645123498129,1,0
early_disease,4.0,0.966722319689049,1.2072014237958257,0.9585597152408348,1.0106295061059956,0.7757703085296818,1,0
early_disease,4.2,0.9638757420547718,1.2146594939032853,0.9570681012193429,1.0115807062848694,0.7682629341126305,1,0
early_disease,4.4,0.9611227089849388,1.2218450216637216,0.9556309956672557,1.0125610166594297,0.7611568247176044,1,0
early_disease,4.6000000000000005,0.9584592860595526,1.2287815710656038,0.9542436857868792,1.0135691534721725,0.7544173365731924,1,0
early_disease,4.800000000000001,0.9558853201450178,1.2354699715459092,0.9529060056908182,1.014603764308821,0.7480319212801446,1,0
early_disease,5.0,0.9534039190974153,1.2418970140760102,0.951620597184798,1.015663395322094,0.7420018431676942,1,0
early_disease,5.2,0.9510114379006578,1.2480980931459327,0.9503803813708135,1.0167467812558542,0.736287265945899,1,0
early_disease,5.4,0.9487059972671429,1.2540656485754196,0.9491868702849161,1.017852656358256,0.7308832528341409,1,0
early_disease,5.6000000000000005,0.9464828687292728,1.2598160824659532,0.9480367835068093,1.018979892222179,0.7257656537610441,1,0
early_disease,5.800000000000001,0.9443398139314857,1.2653737489056471,0.9469252502188705,1.0201273274462521,0.720907525012748,1,0
early_disease,6.0,0.9422780824386016,1.2706935553905938,0.9458612889218813,1.0212937440769245,0.7163353531912329,1,0
early_disease,6.2,0.9402909743387297,1.2758400704886113,0.9448319859022778,1.022478158709744,0.7119912500733585,1,0
